fire_id,fire_year,fire_zone,buffer_dist,spring_year,sdd_doy,sdd_max_doy,n_fall_hotspots,n_spring_hotspots,n_spring_near_perim,has_fall_hotspots,has_spring_hotspots,has_spring_near_perim,overwintered,linked_perim_id,first_spring_dist_to_perim,last_fall_date,last_fall_lat,last_fall_lon,first_spring_date,first_spring_lat,first_spring_lon,dormancy_days,days_after_sdd,exclusion_reason,flag_near_lightning,flag_near_infrastructure,lightning_date,lightning_days_before,linked_perim_cause
2023_G91359,2023,Fort Nelson Fire Zone,500,2024,131.8181818181818,181.8181818181818,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G91467,2023,Fort Nelson Fire Zone,500,2024,141.43939393939394,191.43939393939394,85,28,0,True,True,False,False,,,2023-09-23,59.25866,-122.14758,,,,,,,,,,,
2023_G91494,2023,Fort Nelson Fire Zone,500,2024,112.96274038461539,162.9627403846154,850,7,7,True,True,True,True,2024_G90228,0.0,2023-09-10,59.75875,-121.36508,2024-05-15,59.74083,-121.3168,248.0,23.037259615384613,,False,,2024-05-21 21:00:00,-7.0,Lightning
2023_G91534,2023,Fort Nelson Fire Zone,500,2024,146.87496082732684,196.87496082732684,4911,854,851,True,True,True,True,2024_G90399,0.0,2023-09-23,59.38056,-120.84712,2024-06-21,59.43298,-120.63885,272.0,26.125039172673155,,False,,2024-05-21 21:00:00,30.0,Lightning
2023_G91722,2023,Fort Nelson Fire Zone,500,2024,142.1578947368421,192.1578947368421,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G91739,2023,Fort Nelson Fire Zone,500,2024,134.03504380475596,184.03504380475596,7045,24,0,True,True,False,False,,,2023-10-20,59.3659,-123.12897,,,,,,,,,,,
2023_G91933,2023,Fort Nelson Fire Zone,500,2024,144.49815498154982,194.49815498154982,6,0,0,True,False,False,False,,,2023-09-02,59.45876,-120.05203,,,,,,,,,,,
2023_G92039,2023,Fort Nelson Fire Zone,500,2024,149.69565217391303,199.69565217391303,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G92093,2023,Fort Nelson Fire Zone,500,2024,132.5,182.5,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G92498,2023,both,500,2024,139.55382436260624,189.55382436260624,44641,1185,1086,True,True,True,True,2024_G90228,0.0,2023-10-20,58.95386,-120.98599,2024-05-20,58.73339,-120.86889,213.0,1.4461756373937646,,False,,2024-01-01 00:00:00,140.0,Lightning
2023_G92536,2023,Fort Nelson Fire Zone,500,2024,118.66666666666667,168.66666666666669,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G92572,2023,Fort Nelson Fire Zone,500,2024,107.57142857142857,157.57142857142856,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G92594,2023,Fort Nelson Fire Zone,500,2024,144.1451612903226,194.1451612903226,61,0,0,True,False,False,False,,,2023-09-12,59.94424,-127.74392,,,,,,,,,,,
2023_G92729,2023,Fort Nelson Fire Zone,500,2024,129.33333333333334,179.33333333333334,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G92940,2023,Fort Nelson Fire Zone,500,2024,157.0025514032718,207.0025514032718,13618,810,571,True,True,True,True,2024_G90228,0.0,2023-10-20,59.33907,-122.03725,2024-06-21,59.18334,-121.36919,245.0,15.99744859672819,,False,,2024-05-28 00:00:00,24.0,Lightning
2023_G92947,2023,Fort Nelson Fire Zone,500,2024,171.88582677165354,221.88582677165354,670,53,53,True,True,True,True,2024_G90741,0.0,2023-10-20,59.22654,-127.93846,2024-07-08,59.26954,-127.91462,262.0,18.11417322834646,,False,,2024-01-01 00:00:00,189.0,Lightning
2023_G93102,2023,Fort Nelson Fire Zone,500,2024,129.35714285714286,179.35714285714286,3,0,0,True,False,False,False,,,2023-09-02,59.86836,-121.92152,,,,,,,,,,,
2023_G93103,2023,Fort Nelson Fire Zone,500,2024,183.46153846153845,233.46153846153845,8,0,0,True,False,False,False,,,2023-09-17,59.24878,-120.42734,,,,,,,,,,,
2023_G93120,2023,Fort Nelson Fire Zone,500,2024,158.6315789473684,208.6315789473684,9,0,0,True,False,False,False,,,2023-09-10,58.76958,-127.70901,,,,,,,,,,,
2023_G93240,2023,Fort Nelson Fire Zone,500,2024,143.9090909090909,193.9090909090909,1,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G93291,2023,Fort Nelson Fire Zone,500,2024,154.2153846153846,204.2153846153846,694,36,36,True,True,True,True,2024_G90228,0.0,2023-09-23,59.54778,-121.88457,2024-07-05,59.54189,-121.83486,286.0,32.78461538461539,,False,,2024-01-01 00:00:00,186.0,Lightning
2023_G93345,2023,Fort Nelson Fire Zone,500,2024,159.07692307692307,209.07692307692307,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2024_G80016,2024,Fort St. John Fire Zone,500,2025,96.625,146.625,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2024_G80036,2024,Fort St. John Fire Zone,500,2025,66.15384615384616,116.15384615384616,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2024_G80062,2024,Fort St. John Fire Zone,500,2025,63.09090909090909,113.0909090909091,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2024_G80071,2024,Fort St. John Fire Zone,500,2025,116.83333333333333,166.83333333333331,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2024_G80155,2024,Fort St. John Fire Zone,500,2025,123.53333333333333,173.53333333333333,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2024_G80162,2024,Fort St. John Fire Zone,500,2025,104.42857142857143,154.42857142857144,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2024_G80187,2024,Fort St. John Fire Zone,500,2025,138.44827586206895,188.44827586206895,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2024_G80188,2024,Fort St. John Fire Zone,500,2025,131.62962962962962,181.62962962962962,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2024_G80189,2024,Fort St. John Fire Zone,500,2025,126.85714285714286,176.85714285714286,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2024_G80262,2024,Fort St. John Fire Zone,500,2025,130.87361419068736,180.87361419068736,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2024_G80270,2024,both,500,2025,136.47565157750344,186.47565157750344,2,205,205,True,True,True,True,2025_G80396,0.0,2024-08-12,58.25813,-121.61767,2025-05-29,58.02773,-121.6817,290.0,12.524348422496558,,False,,2025-01-01 00:00:00,148.0,
2024_G80273,2024,Fort St. John Fire Zone,500,2025,127.9,177.9,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2024_G80286,2024,both,500,2025,129.65746268656716,179.65746268656716,52,5,5,True,True,True,False,2025_G90428,0.0,2024-08-17,58.29363,-120.24813,2025-05-30,58.32571,-120.24628,286.0,20.342537313432842,lightning_strike,True,,2025-05-26 00:00:00,4.0,
2024_G80305,2024,Fort St. John Fire Zone,500,2025,125.54285714285714,175.54285714285714,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2024_G80315,2024,Fort St. John Fire Zone,500,2025,117.53846153846153,167.53846153846155,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2024_G80419,2024,Fort St. John Fire Zone,500,2025,124.51724137931035,174.51724137931035,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2024_G80424,2024,Fort St. John Fire Zone,500,2025,108.91666666666667,158.91666666666669,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2024_G80426,2024,Fort St. John Fire Zone,500,2025,127.61904761904762,177.61904761904762,0,227,0,False,True,False,False,,,,,,,,,,,,,,,,
2024_G80428,2024,Fort St. John Fire Zone,500,2025,108.0,158.0,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2024_G80447,2024,Fort St. John Fire Zone,500,2025,111.16666666666667,161.16666666666669,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2024_G80467,2024,Fort St. John Fire Zone,500,2025,127.3,177.3,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2024_G80468,2024,Fort St. John Fire Zone,500,2025,121.16666666666667,171.16666666666669,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2024_G80549,2024,Fort St. John Fire Zone,500,2025,136.78275862068966,186.78275862068966,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2024_G80648,2024,Fort St. John Fire Zone,500,2025,129.66666666666666,179.66666666666666,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2024_G80733,2024,Fort St. John Fire Zone,500,2025,118.0,168.0,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2024_G80854,2024,Fort St. John Fire Zone,500,2025,138.5874125874126,188.5874125874126,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2024_G81281,2024,Fort St. John Fire Zone,500,2025,169.88888888888889,219.88888888888889,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2024_G81369,2024,Fort St. John Fire Zone,500,2025,132.05,182.05,1,0,0,False,False,False,False,,,,,,,,,,,,,,,,
